TourCat,ModeABMTour,ModeABMTrip,totTrip
School Tours,Wlk PremOnly,Wlk PremOnly,920
University Tours,Bike,Bike,6100
University Tours,Bike,Walk,50
University Tours,Drive Alone,Drive Alone,114985
University Tours,KNR AllTrn,KNR AllTrn,3695
University Tours,KNR AllTrn,KNR PremOnly,5
University Tours,KNR PremOnly,KNR AllTrn,1135
University Tours,KNR PremOnly,KNR PremOnly,2705
University Tours,PNR AllTrn,PNR AllTrn,430
University Tours,PNR PremOnly,PNR AllTrn,1025
University Tours,PNR PremOnly,PNR PremOnly,5145
University Tours,Shared 2,Drive Alone,8280
University Tours,Shared 2,Shared 2,20125
University Tours,Shared 2,Walk,795
University Tours,Shared 3+,Drive Alone,2905
University Tours,Shared 3+,Shared 2,1835
University Tours,Shared 3+,Shared 3+,5490
University Tours,Shared 3+,Walk,40
University Tours,Walk,Walk,1935
University Tours,Wlk AllTrn,Shared 2,2485
University Tours,Wlk AllTrn,Shared 3+,280
University Tours,Wlk AllTrn,Walk,2490
University Tours,Wlk AllTrn,Wlk AllTrn,18465
University Tours,Wlk AllTrn,Wlk PremOnly,275
University Tours,Wlk PremOnly,Shared 2,465
University Tours,Wlk PremOnly,Shared 3+,20
University Tours,Wlk PremOnly,Walk,1060
University Tours,Wlk PremOnly,Wlk AllTrn,3130
University Tours,Wlk PremOnly,Wlk PremOnly,2810
Work Tours,Bike,Bike,24880
Work Tours,Bike,Walk,1280
Work Tours,Drive Alone,Drive Alone,3663275
Work Tours,KNR AllTrn,KNR AllTrn,10795
Work Tours,KNR AllTrn,KNR PremOnly,425
Work Tours,KNR PremOnly,KNR AllTrn,550
Work Tours,KNR PremOnly,KNR PremOnly,11590
Work Tours,PNR AllTrn,PNR AllTrn,2355
Work Tours,PNR AllTrn,PNR PremOnly,75
Work Tours,PNR PremOnly,PNR AllTrn,590
Work Tours,PNR PremOnly,PNR PremOnly,31270
Work Tours,Shared 2,Drive Alone,453965
Work Tours,Shared 2,Shared 2,573310
Work Tours,Shared 2,Walk,8215
Work Tours,Shared 3+,Drive Alone,168615
Work Tours,Shared 3+,Shared 2,67680
Work Tours,Shared 3+,Shared 3+,184205
Work Tours,Shared 3+,Walk,1975
Work Tours,Walk,Walk,35500
Work Tours,Wlk AllTrn,Shared 2,17620
Work Tours,Wlk AllTrn,Shared 3+,2445
Work Tours,Wlk AllTrn,Walk,34815
Work Tours,Wlk AllTrn,Wlk AllTrn,76880
Work Tours,Wlk AllTrn,Wlk PremOnly,2165
Work Tours,Wlk PremOnly,Shared 2,1245
Work Tours,Wlk PremOnly,Shared 3+,150
Work Tours,Wlk PremOnly,Walk,6340
Work Tours,Wlk PremOnly,Wlk AllTrn,3050
Work Tours,Wlk PremOnly,Wlk PremOnly,11370
