TourCat,auto_suff,ModeABM,totTours
University Tours,0 Auto,Shared 2,237
University Tours,0 Auto,Wlk AllTrn,4246
University Tours,0 Auto,Wlk PremOnly,1073
University Tours,Autos <  Workers,Drive Alone,4259
University Tours,Autos <  Workers,KNR AllTrn,590
University Tours,Autos <  Workers,KNR PremOnly,521
University Tours,Autos <  Workers,PNR AllTrn,63
University Tours,Autos <  Workers,PNR PremOnly,789
University Tours,Autos <  Workers,Shared 2,857
University Tours,Autos <  Workers,Walk,196
University Tours,Autos <  Workers,Wlk AllTrn,2115
University Tours,Autos <  Workers,Wlk PremOnly,783
University Tours,Autos >= Workers,Bike,681
University Tours,Autos >= Workers,Drive Alone,48007
University Tours,Autos >= Workers,KNR AllTrn,633
University Tours,Autos >= Workers,KNR PremOnly,955
University Tours,Autos >= Workers,PNR AllTrn,71
University Tours,Autos >= Workers,PNR PremOnly,2133
University Tours,Autos >= Workers,Shared 2,12034
University Tours,Autos >= Workers,Shared 3+,4688
University Tours,Autos >= Workers,Walk,444
University Tours,Autos >= Workers,Wlk AllTrn,3116
University Tours,Autos >= Workers,Wlk PremOnly,1433
Work Tours,0 Auto,KNR AllTrn,1874
Work Tours,0 Auto,KNR PremOnly,835
Work Tours,0 Auto,Shared 2,14513
Work Tours,0 Auto,Shared 3+,3681
Work Tours,0 Auto,Walk,4003
Work Tours,0 Auto,Wlk AllTrn,26832
Work Tours,0 Auto,Wlk PremOnly,2372
Work Tours,Autos <  Workers,Bike,2526
Work Tours,Autos <  Workers,Drive Alone,116242
Work Tours,Autos <  Workers,KNR AllTrn,1721
Work Tours,Autos <  Workers,KNR PremOnly,2105
Work Tours,Autos <  Workers,PNR AllTrn,304
Work Tours,Autos <  Workers,PNR PremOnly,2334
Work Tours,Autos <  Workers,Shared 2,91513
Work Tours,Autos <  Workers,Shared 3+,23544
Work Tours,Autos <  Workers,Walk,5057
Work Tours,Autos <  Workers,Wlk AllTrn,10133
Work Tours,Autos <  Workers,Wlk PremOnly,2167
