zone,construc,manufac,TCU,wholesl,retail,FIRE,service,private,govt,emp,pop,hshld,univ,acres,otherEmp,district,PARKTOT,PARKLNG,PROPFREE,PARKRATE,areatype,county,CBDFlag,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92
     18.00,         0,         0,         0,      8.00,         0,      4.00,    131.00,    143.00,         0,    143.00,    596.00,    199.00,         0,    831.00,     12.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,     26.00,         0,         0,         0,      8.00,         0,         0,         0,      4.00,         0,         0,         0,     10.00,     94.00,         0,         0,         0,      1.00,         0
     19.00,      1.00,         0,         0,         0,         0,      1.00,     43.00,     45.00,         0,     45.00,    646.00,    223.00,         0,    757.00,      2.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,      1.00,         0,         0,         0,         0,         0,      1.00,         0,     30.00,         0,      3.00,         0,         0,         0,         0,     10.00,         0
     20.00,         0,         0,         0,         0,         0,      3.00,    117.00,    120.00,         0,    120.00,    172.00,     63.00,         0,    682.00,      3.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      3.00,         0,         0,     10.00,         0,         0,    105.00,         0,      2.00,         0
     21.00,         0,         0,         0,      2.00,         0,         0,     14.00,     16.00,         0,     16.00,    492.00,    158.00,         0,    514.00,      2.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,      7.00,         0,         0,         0,         0,      2.00,         0,         0,         0,         0,         0,      2.00,         0,      1.00,      2.00,         0,         0,         0,      2.00,         0
     22.00,      1.00,         0,         0,         0,         0,      8.00,     32.00,     41.00,         0,     41.00,    581.00,    190.00,         0,   1426.00,      9.00,      1.00,         0,         0,         0,         0,      7.00,      1.00,         0,         0,         0,         0,      1.00,         0,         0,         0,         0,         0,      8.00,         0,     22.00,         0,      5.00,      2.00,      1.00,         0,         0,      2.00,         0
     23.00,         0,         0,      1.00,         0,      9.00,         0,         0,     10.00,         0,     10.00,     79.00,     26.00,         0,    415.00,      1.00,      1.00,         0,         0,         0,         0,      7.00,      1.00,         0,         0,         0,         0,         0,         0,         0,      9.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
     24.00,         0,      2.00,      1.00,         0,         0,         0,         0,      3.00,         0,      3.00,     48.00,     30.00,         0,    359.00,      3.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,      2.00,         0,         0,         0,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
     25.00,      6.00,         0,      1.00,         0,    132.00,     15.00,     74.00,    228.00,         0,    228.00,    288.00,    104.00,         0,    835.00,     22.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,      6.00,         0,         0,    106.00,         0,      1.00,     15.00,         0,      3.00,         0,     28.00,         0,         0,         0,     26.00,     43.00,         0
     26.00,      1.00,         0,         0,      2.00,     65.00,     33.00,    148.00,    249.00,         0,    249.00,   1651.00,    487.00,         0,   1532.00,     36.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,      1.00,         0,         0,      1.00,         0,      2.00,     45.00,         0,         0,     29.00,      4.00,      8.00,      1.00,     22.00,      9.00,      5.00,    102.00,     20.00,         0,         0
     27.00,     32.00,         0,      1.00,      2.00,     31.00,         0,     12.00,     78.00,         0,     78.00,    888.00,    278.00,         0,    944.00,     35.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,     32.00,         0,      2.00,         0,         0,      1.00,         0,         0,      6.00,         0,      5.00,         0,         0,         0,     31.00,      1.00,         0
