Location,Observations,Volume / Count Ratio,Observations,Medium Truck Volume / Count Ratio,Heavy Truck Volume / Count Ratio
Outside I-285,5209,0.96,1247,1.10,0.93
Inside I-285,857,0.93,148,1.07,1.05
