tour_mode,OrigDistName,OrigDist,DestDistName,DestDist,totTrip,HomeDist,HomeDistName,income2,ProdDistName,AttrDistName
9,Buckhead & SS,2,N Fulton,6,494,NA,NA,NA,NA,NA
9,Buckhead & SS,2,N Gwinnett,17,2,NA,NA,NA,NA,NA
9,Buckhead & SS,2,N Suburbs,21,11,NA,NA,NA,NA,NA
9,Buckhead & SS,2,NE DeKalb,10,464,NA,NA,NA,NA,NA
9,Buckhead & SS,2,NW Cen DeKalb,8,723,NA,NA,NA,NA,NA
9,Buckhead & SS,2,NW Cobb,14,13,NA,NA,NA,NA,NA
9,Buckhead & SS,2,S Cobb,12,305,NA,NA,NA,NA,NA
9,Buckhead & SS,2,S DeKalb,9,371,NA,NA,NA,NA,NA
9,Buckhead & SS,2,S Fulton,5,170,NA,NA,NA,NA,NA
9,Buckhead & SS,2,SE Atlanta,3,1513,NA,NA,NA,NA,NA
9,Buckhead & SS,2,SE Suburbs,20,6,NA,NA,NA,NA,NA
9,Buckhead & SS,2,SW & Cent Cobb,13,83,NA,NA,NA,NA,NA
9,Buckhead & SS,2,SW Gwinnett,15,160,NA,NA,NA,NA,NA
9,Buckhead & SS,2,SW Suburbs,19,11,NA,NA,NA,NA,NA
9,Buckhead & SS,2,W Atlanta,4,1927,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Atl DeKalb,7,11,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Atlanta,1,33,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Atlanta CBD,0,48,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Buckhead & SS,2,31,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Cent Gwinnett,16,489,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Chamblee,11,24,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,Clayton,18,6,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,N Gwinnett,17,18,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,NE DeKalb,10,6,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,NW Cen DeKalb,8,9,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,NW Cobb,14,1,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,S Cobb,12,5,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,S DeKalb,9,2,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,S Fulton,5,3,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,SE Atlanta,3,29,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,SW & Cent Cobb,13,1,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,SW Gwinnett,15,120,NA,NA,NA,NA,NA
9,Cent Gwinnett,16,W Atlanta,4,38,NA,NA,NA,NA,NA
9,Chamblee,11,Atl DeKalb,7,344,NA,NA,NA,NA,NA
9,Chamblee,11,Atlanta,1,883,NA,NA,NA,NA,NA
9,Chamblee,11,Atlanta CBD,0,1228,NA,NA,NA,NA,NA
9,Chamblee,11,Buckhead & SS,2,1302,NA,NA,NA,NA,NA
9,Chamblee,11,Cent Gwinnett,16,31,NA,NA,NA,NA,NA
9,Chamblee,11,Chamblee,11,1731,NA,NA,NA,NA,NA
9,Chamblee,11,Clayton,18,326,NA,NA,NA,NA,NA
9,Chamblee,11,N Fulton,6,167,NA,NA,NA,NA,NA
9,Chamblee,11,N Gwinnett,17,4,NA,NA,NA,NA,NA
9,Chamblee,11,N Suburbs,21,4,NA,NA,NA,NA,NA
9,Chamblee,11,NE DeKalb,10,268,NA,NA,NA,NA,NA
9,Chamblee,11,NW Cen DeKalb,8,444,NA,NA,NA,NA,NA
9,Chamblee,11,NW Cobb,14,9,NA,NA,NA,NA,NA
9,Chamblee,11,S Cobb,12,181,NA,NA,NA,NA,NA
9,Chamblee,11,S DeKalb,9,128,NA,NA,NA,NA,NA
9,Chamblee,11,S Fulton,5,82,NA,NA,NA,NA,NA
9,Chamblee,11,SE Atlanta,3,674,NA,NA,NA,NA,NA
9,Chamblee,11,SE Suburbs,20,6,NA,NA,NA,NA,NA
