"TourType","Purpose","nstops","num"
"Individual Non-Mandatory","Shopping","1 out 2 in",16724
"Individual Non-Mandatory","Shopping","1 out 3 in",6344
"Individual Non-Mandatory","Shopping","2 out 0 in",26386
"Individual Non-Mandatory","Shopping","2 out 1 in",11248
"Individual Non-Mandatory","Shopping","2 out 2 in",5038
"Individual Non-Mandatory","Shopping","2 out 3 in",3509
"Individual Non-Mandatory","Shopping","3 out 0 in",14714
"Individual Non-Mandatory","Shopping","3 out 1 in",7359
"Individual Non-Mandatory","Shopping","3 out 2 in",2408
"Individual Non-Mandatory","Shopping","3 out 3 in",2787
"Individual Non-Mandatory","Social/Visit","0 out 0 in",118685
"Individual Non-Mandatory","Social/Visit","0 out 1 in",13620
"Individual Non-Mandatory","Social/Visit","0 out 2 in",3358
"Individual Non-Mandatory","Social/Visit","0 out 3 in",1428
"Individual Non-Mandatory","Social/Visit","1 out 0 in",16412
"Individual Non-Mandatory","Social/Visit","1 out 1 in",6517
"Individual Non-Mandatory","Social/Visit","1 out 2 in",1136
"Individual Non-Mandatory","Social/Visit","1 out 3 in",106
"Individual Non-Mandatory","Social/Visit","2 out 0 in",4344
"Individual Non-Mandatory","Social/Visit","2 out 1 in",1576
"Individual Non-Mandatory","Social/Visit","2 out 2 in",960
"Individual Non-Mandatory","Social/Visit","2 out 3 in",536
"Individual Non-Mandatory","Social/Visit","3 out 0 in",2158
"Individual Non-Mandatory","Social/Visit","3 out 1 in",534
"Individual Non-Mandatory","Social/Visit","3 out 2 in",306
"Individual Non-Mandatory","Social/Visit","3 out 3 in",43
"Joint","Discretionary","0 out 0 in",80943
"Joint","Discretionary","0 out 1 in",17888
"Joint","Discretionary","0 out 2 in",3906
"Joint","Discretionary","0 out 3 in",1696
"Joint","Discretionary","1 out 0 in",8153
"Joint","Discretionary","1 out 1 in",1351
"Joint","Discretionary","1 out 2 in",1438
"Joint","Discretionary","1 out 3 in",570
"Joint","Discretionary","2 out 0 in",2060
"Joint","Discretionary","2 out 1 in",1059
"Joint","Discretionary","2 out 2 in",183
"Joint","Discretionary","2 out 3 in",333
"Joint","Discretionary","3 out 0 in",1208
"Joint","Discretionary","3 out 1 in",477
"Joint","Discretionary","3 out 2 in",71
"Joint","Discretionary","3 out 3 in",143
"Joint","EatOut","0 out 0 in",40474
"Joint","EatOut","0 out 1 in",4481
"Joint","EatOut","0 out 2 in",1169
"Joint","EatOut","0 out 3 in",455
"Joint","EatOut","1 out 0 in",5929
"Joint","EatOut","1 out 1 in",1379
"Joint","EatOut","1 out 2 in",358
"Joint","EatOut","1 out 3 in",27
"Joint","EatOut","2 out 0 in",1502
"Joint","EatOut","2 out 1 in",548
"Joint","EatOut","2 out 2 in",352
"Joint","EatOut","2 out 3 in",169
"Joint","EatOut","3 out 0 in",732
"Joint","EatOut","3 out 1 in",162
"Joint","EatOut","3 out 2 in",104
"Joint","EatOut","3 out 3 in",13
"Joint","Maintenance","0 out 0 in",41442
"Joint","Maintenance","0 out 1 in",18606
"Joint","Maintenance","0 out 2 in",4987
"Joint","Maintenance","0 out 3 in",3663
"Joint","Maintenance","1 out 0 in",8500
"Joint","Maintenance","1 out 1 in",7503
"Joint","Maintenance","1 out 2 in",1277
"Joint","Maintenance","1 out 3 in",1551
"Joint","Maintenance","2 out 0 in",889
"Joint","Maintenance","2 out 1 in",1265
"Joint","Maintenance","2 out 2 in",308
"Joint","Maintenance","2 out 3 in",237
"Joint","Maintenance","3 out 0 in",1289
"Joint","Maintenance","3 out 1 in",435
"Joint","Maintenance","3 out 2 in",305
"Joint","Maintenance","3 out 3 in",452
"Joint","Shopping","0 out 0 in",55323
"Joint","Shopping","0 out 1 in",14033
"Joint","Shopping","0 out 2 in",3385
"Joint","Shopping","0 out 3 in",1713
"Joint","Shopping","1 out 0 in",17744
"Joint","Shopping","1 out 1 in",14181
"Joint","Shopping","1 out 2 in",2459
"Joint","Shopping","1 out 3 in",2094
"Joint","Shopping","2 out 0 in",6977
"Joint","Shopping","2 out 1 in",2847
