taz,geoID,aoDistrict
1,13121011506,0
2,13121011506,0
3,13121011506,0
4,13121011505,0
5,13121011505,0
6,13121011505,0
7,13121011503,0
8,13121011503,0
9,13121011503,0
10,13121011503,0
11,13121011503,0
12,13121011503,0
13,13121011503,0
14,13121011503,0
15,13121011503,0
16,13121011503,0
17,13121011503,0
18,13121011503,0
19,13121011503,0
20,13121011503,0
21,13121011504,0
22,13121011504,0
23,13121011504,0
24,13121011504,0
25,13121011504,0
26,13121011504,0
27,13121011504,0
28,13121011504,0
29,13121011504,0
30,13121011504,0
31,13121011504,0
32,13121011504,0
33,13121011504,0
34,13121011504,0
35,13121011504,0
36,13121011504,0
37,13121011504,0
38,13121011504,0
39,13121011615,0
40,13121011615,0
41,13121011615,0
42,13121011615,0
43,13121011615,0
44,13121011615,0
45,13121011615,0
46,13121011615,0
47,13121011615,0
48,13121011615,0
49,13121011615,0
50,13121011615,0
51,13121011615,0
52,13121011610,0
53,13121011610,0
54,13121011611,12
55,13121011611,12
56,13121011611,12
57,13121011611,12
58,13121011611,12
59,13121011611,12
60,13121011611,12
61,13121011611,12
62,13121011611,12
63,13121011611,12
64,13121011611,12
65,13121011611,12
66,13121011611,12
67,13121011611,12
68,13121011611,12
69,13121011611,12
70,13121011616,12
71,13121011616,12
72,13121011616,12
73,13121011616,12
74,13121011616,12
75,13121011616,12
76,13121011616,12
77,13121011614,0
78,13121011614,0
79,13121011614,0
80,13121011614,0
81,13121011614,0
82,13121011614,0
83,13121011614,0
84,13121011614,0
85,13121011621,0
86,13121011621,0
87,13121011621,0
88,13121011621,0
89,13121011621,0
90,13121011620,0
91,13121011620,0
92,13121011620,0
93,13121011624,0
94,13121011626,0
95,13121011626,0
96,13121011622,0
97,13121011622,0
98,13121011622,0
99,13121011622,0
100,13121011622,0
101,13121011623,0
102,13121011623,0
103,13121011623,0
104,13121011623,0
105,13121011625,0
106,13121011625,0
107,13121011625,0
108,13121011612,0
109,13121011612,0
110,13121011612,0
111,13121011613,0
112,13121011613,0
113,13121011613,0
114,13121011617,0
115,13121011617,0
116,13121011617,0
117,13121011617,0
118,13121011617,0
119,13121011618,12
120,13121011618,12
121,13121011618,12
122,13121011619,0
123,13121011619,0
124,13121011619,0
125,13121011619,0
126,13121011420,12
127,13121011420,12
128,13121011421,12
129,13121011421,12
130,13121011421,12
131,13121011421,12
132,13121011421,12
133,13121011421,12
134,13121011416,12
135,13121011416,12
136,13121011416,12
137,13121011416,12
138,13121011416,12
139,13121011417,12
140,13121011417,12
141,13121011417,12
142,13121011417,12
143,13121011417,12
144,13121011417,12
145,13121011419,0
146,13121011419,0
147,13121011419,0
148,13121011418,0
149,13121011418,0
150,13121011418,0
151,13121011418,0
152,13121011423,0
153,13121011423,0
154,13121011423,0
155,13121011422,13
156,13121011422,13
157,13121011405,0
158,13121011405,0
159,13121011405,0
160,13121011405,0
161,13121011405,0
162,13121011405,0
163,13121011405,0
164,13121011405,0
165,13121011405,0
166,13121011405,0
167,13121011411,0
168,13121011411,0
169,13121011411,0
170,13121011412,0
171,13121011412,0
172,13121011412,0
173,13121011427,0
174,13121011427,0
175,13121011426,0
176,13121011425,0
177,13121011425,0
178,13121011424,0
179,13121011424,0
180,13121011424,0
181,13121011414,0
182,13121011414,0
183,13121011410,0
184,13121011410,0
185,13121011410,0
186,13121010108,0
187,13121010108,0
188,13121010108,0
189,13121010108,0
190,13121010107,0
191,13121010106,0
192,13121010106,0
193,13121010106,0
194,13121010120,0
195,13121010119,0
196,13121010119,0
197,13121010208,13
198,13121010209,13
199,13121010117,0
200,13121010118,0
201,13121010118,0
202,13121010118,0
203,13121010122,0
204,13121010122,0
205,13121010122,0
206,13121010122,0
207,13121010122,0
208,13121010122,0
209,13121010122,0
210,13121010123,0
211,13121010123,0
212,13121010123,0
213,13121010123,0
214,13121010123,0
215,13121010210,0
216,13121010210,0
217,13121010204,0
218,13121010204,0
219,13121010204,0
220,13121010204,0
221,13121010204,0
222,13121010204,0
223,13121010204,0
224,13121010205,0
225,13121010205,0
226,13121010205,0
227,13121010205,0
228,13121010205,0
229,13121010205,0
230,13121010205,0
231,13121010205,0
232,13121010205,0
233,13121010205,0
234,13121010205,0
235,13121010205,0
236,13121010205,0
237,13121010205,0
238,13121010205,0
239,13121010205,0
240,13121010121,0
241,13121010121,0
242,13121010121,0
243,13121010110,0
244,13121010110,0
245,13121010110,0
246,13121010110,0
247,13121010110,0
248,13121010110,0
249,13121010110,0
250,13121010110,0
251,13121010110,0
252,13121010110,0
253,13121010110,0
254,13121010110,0
255,13121010110,0
256,13121010110,0
257,13121010113,0
258,13121010113,0
259,13121010113,0
260,13121010113,0
261,13121010113,0
262,13121010212,0
263,13121010212,0
264,13121010212,0
265,13121010212,0
266,13121010212,0
267,13121010206,0
268,13121010206,0
269,13121010206,0
270,13121010206,0
271,13121010206,0
272,13121010206,0
273,13121010206,0
274,13121010206,0
275,13121010206,0
276,13121010211,0
277,13121010211,0
278,13121010211,0
279,13121010211,0
280,13121010211,0
281,13121010114,0
282,13121010114,0
283,13121010114,0
