TAZ,UNIV,ACRES
526,0,66
527,0,32
528,0,20
529,0,32
530,0,35
531,0,40
532,0,82
533,0,441
534,0,99
535,0,34
536,0,65
537,0,109
538,0,486
539,0,43
540,0,45
541,0,35
542,0,102
543,0,193
544,0,92
545,0,27
546,0,33
547,0,51
548,0,55
549,0,13
550,0,37
551,0,11
552,0,22
553,0,45
554,0,26
555,0,6
556,0,4
557,0,15
558,0,14
559,0,5
560,0,14
561,0,33
562,0,24
563,0,52
564,0,80
565,0,22
566,0,23
567,0,15
568,0,34
569,0,17
570,0,8
571,0,24
572,0,19
573,0,84
574,0,148
575,0,31
576,0,121
577,0,88
578,0,25
579,0,50
580,0,12
581,0,60
582,0,17
583,0,39
584,0,41
585,0,31
586,0,11
587,0,17
588,0,26
589,0,59
590,0,82
591,0,26
592,0,28
593,0,14
594,0,10
595,0,22
596,0,28
597,0,15
598,0,54
599,0,40
600,0,36
601,0,29
602,0,25
603,0,25
604,0,6
605,0,4
606,0,7
607,0,7
608,0,12
609,0,7
610,0,7
611,0,10
612,0,12
613,0,7
614,0,8
615,0,6
616,0,6
617,0,9
618,0,10
619,0,6
620,0,5
621,0,6
622,0,12
623,0,10
624,0,24
625,0,23
626,0,6
627,0,9
628,0,13
629,0,14
630,0,18
631,0,22
632,0,12
633,0,7
634,0,31
635,0,5
636,0,39
637,0,38
638,0,24
639,0,97
640,0,22
641,0,19
642,0,93
643,0,98
644,0,45
645,0,29
646,0,44
647,0,40
648,0,31
649,0,75
650,0,60
651,0,58
652,0,33
653,0,21
654,0,31
655,0,6
656,0,28
657,0,9
658,83,23
659,0,8
660,0,7
661,0,6
662,0,5
663,0,5
664,0,6
665,23737,6
666,0,12
667,0,11
668,0,7
669,0,3
670,0,5
671,0,7
672,0,6
673,0,6
674,0,5
675,0,5
676,0,6
677,0,6
678,0,6
679,0,5
680,0,3
681,0,7
682,1345,4
683,0,4
684,0,4
685,0,2
686,0,2
687,0,1
688,0,5
689,0,4
690,0,4
691,0,8
692,0,5
693,0,11
694,0,5
695,0,3
696,0,6
697,0,3
698,0,5
699,0,4
700,0,2
701,0,5
702,0,5
703,0,5
704,0,6
705,0,6
706,0,5
707,0,5
708,0,5
709,0,7
710,0,2
711,0,3
712,0,3
713,0,4
714,0,6
715,0,4
716,0,13
717,0,7
718,0,6
719,0,8
720,0,7
721,0,8
722,0,10
723,0,13
724,0,7
725,0,5
726,0,7
727,0,14
728,0,9
729,0,6
730,0,8
731,0,8
732,0,41
733,0,33
734,0,34
735,0,48
736,0,13
737,0,24
738,0,3
739,0,7
740,0,5
741,0,5
742,0,18
743,0,11
744,0,19
745,0,13
746,0,22
747,0,6
748,0,7
749,0,6
750,0,5
751,0,5
752,0,6
753,0,9
754,0,4
755,0,24
756,0,7
757,0,5
758,0,5
759,0,12
760,0,13
761,0,9
762,0,17
763,0,4
764,0,8
765,0,5
766,0,5
767,0,5
768,0,6
769,0,5
770,0,5
771,0,6
772,0,3
773,0,8
774,0,8
775,0,6
776,0,5
777,0,5
778,0,5
779,0,30
780,0,17
781,0,10
782,0,9
783,0,54
784,0,30
785,0,31
786,0,28
787,0,119
788,0,30
789,0,67
790,0,33
791,0,15
792,0,30
793,0,10
794,0,21
795,0,22
796,0,47
797,0,22
798,0,14
799,0,48
800,0,111
801,0,35
802,0,15
803,0,41
804,0,10
805,0,41
806,0,10
807,0,18
808,0,25
809,0,61
810,0,135
811,0,9
812,0,38
813,0,27
814,0,50
815,0,25
816,0,36
817,0,17
818,0,12
819,0,12
820,0,22
821,0,31
822,0,246
823,0,100
824,0,104
825,0,62
826,0,15
827,0,34
828,0,12
829,0,15
830,0,149
831,0,26
832,0,105
833,0,23
834,0,64
835,0,14
836,0,138
837,0,138
838,0,68
839,0,41
840,0,10
841,0,51
842,0,110
843,0,55
844,0,16
845,0,25
846,0,46
847,0,84
848,0,56
849,0,100
850,840,89
851,0,63
852,0,131
853,0,122
854,0,17
855,0,455
856,0,54
857,0,252
858,0,163
859,0,47
860,0,188
861,0,75
862,0,58
863,0,58
864,0,271
865,0,34
866,0,103
867,0,28
868,0,5
869,0,139
870,0,233
871,0,85
872,0,250
873,0,304
874,0,198
875,67,269
876,0,247
877,0,109
878,0,119
879,0,41
880,0,151
881,0,132
882,0,98
883,0,162
884,0,66
885,0,314
886,0,179
887,0,86
888,0,217
889,0,60
890,0,68
891,0,182
892,0,324
893,0,246
894,0,266
895,0,221
896,0,227
897,0,42
898,0,24
899,0,216
900,0,140
901,0,47
902,0,34
903,0,69
904,0,156
905,0,204
906,0,207
907,0,182
908,0,182
909,0,168
910,0,186
911,0,109
912,0,333
913,0,245
914,0,115
915,0,79
916,0,91
917,0,218
918,0,109
919,0,22
920,0,99
921,0,79
922,0,48
923,0,68
924,0,56
925,0,50
926,0,80
927,0,175
928,0,66
929,0,29
930,0,86
931,0,95
932,0,108
933,0,274
934,7812,282
935,0,103
936,0,151
937,0,78
938,0,76
939,0,104
940,0,124
941,0,79
942,0,22
943,0,43
944,0,114
945,0,154
946,0,51
947,0,52
948,0,18
949,0,22
950,0,22
951,0,35
952,0,33
953,0,55
954,0,30
955,0,13
956,0,31
957,0,50
958,0,18
959,2527,72
960,0,18
961,0,23
962,0,14
963,0,7
964,0,8
965,0,41
966,0,31
967,0,17
968,0,10
969,0,13
970,0,25
971,0,24
972,885,41
973,4035,10
974,0,10
975,2395,31
976,0,35
977,0,31
978,0,152
979,0,29
980,0,25
981,0,44
982,0,71
983,0,83
984,0,59
985,0,32
986,0,23
987,0,76
988,0,171
989,0,68
990,0,13
991,0,73
992,0,158
993,0,133
994,0,31
995,0,63
996,0,81
997,0,474
998,0,100
999,0,206
1000,0,95
1001,0,220
1002,0,60
1003,0,372
1004,0,406
1005,0,223
1006,0,668
1007,0,100
1008,0,383
1009,0,88
1010,0,34
1011,0,369
1012,0,123
1013,0,21
1014,0,170
1015,0,61
1016,0,173
1017,0,291
1018,0,182
1019,0,295
1020,0,99
1021,0,504
1022,0,313
1023,0,103
1024,0,189
1025,0,110
1026,0,148
1027,0,127
1028,0,214
1029,0,35
1030,0,105
1031,0,88
1032,0,113
1033,0,224
1034,0,291
1035,0,619
1036,0,231
1037,0,133
1038,0,322
1039,0,603
1040,0,135
1041,0,32
1042,0,326
1043,0,1038
1044,0,456
1045,0,481
1046,0,332
1047,0,849
1048,0,283
1049,176,1574
1050,0,327
1051,0,419
1052,0,94
1053,0,606
1054,0,110
1055,0,156
1056,0,105
1057,0,242
1058,0,1828
1059,0,102
1060,0,181
1061,0,127
1062,0,47
1063,0,285
1064,0,120
1065,0,65
1066,0,152
1067,0,141
1068,0,176
1069,430,118
1070,0,44
1071,0,125
1072,0,70
1073,0,186
1074,0,241
1075,0,615
1076,0,241
1077,0,335
1078,0,650
1079,0,182
1080,0,276
1081,0,37
1082,0,28
1083,0,190
1084,0,524
1085,0,53
1086,0,117
1087,0,439
1088,0,43
1089,0,150
1090,0,128
1091,0,130
1092,0,190
1093,0,67
1094,1110,105
1095,0,241
1096,0,87
1097,0,432
1098,0,60
1099,0,56
1100,0,26
1101,0,398
1102,0,404
1103,0,131
1104,0,189
1105,0,358
1106,0,74
1107,0,40
1108,0,191
1109,0,44
1110,0,17
1111,0,41
1112,0,38
1113,0,383
1114,0,21
1115,0,58
1116,0,616
1117,0,50
1118,0,34
1119,0,79
1120,0,70
1121,0,18
1122,0,202
1123,0,102
1124,0,342
1125,0,42
1126,0,62
1127,0,237
1128,0,208
1129,0,375
1130,0,260
1131,0,165
1132,0,61
1133,0,635
1134,0,40
1135,0,327
1136,0,281
1137,0,97
1138,0,54
1139,0,24
1140,0,89
1141,0,16
1142,0,11
1143,0,36
1144,0,39
1145,0,638
1146,0,157
1147,0,140
1148,0,498
1149,0,203
1150,0,44
1151,0,36
1152,0,449
1153,0,555
1154,0,67
1155,0,225
1156,0,133
1157,0,193
1158,0,153
1159,0,65
1160,0,293
1161,0,214
1162,0,108
1163,0,1578
1164,0,86
1165,0,205
1166,0,143
1167,0,655
1168,0,518
1169,0,135
1170,0,601
1171,0,1170
1172,0,584
1173,0,139
1174,0,1025
1175,0,551
1176,0,323
1177,0,642
1178,0,1396
1179,0,683
1180,0,244
1181,0,934
1182,0,1626
1183,0,1161
1184,0,482
1185,0,546
1186,0,99
1187,0,1127
1188,0,520
1189,0,218
1190,0,825
1191,0,78
1192,0,95
1193,0,830
1194,0,152
1195,0,661
1196,0,914
1197,0,754
1198,0,401
1199,0,1130
1200,0,1222
1201,0,648
1202,0,105
1203,0,380
1204,0,3152
1205,1261,344
1206,0,327
1207,0,1002
1208,0,47
1209,0,387
1210,0,381
1211,0,125
1212,0,464
1213,0,1120
1214,0,1543
1215,0,1389
1216,0,83
1217,0,701
1218,0,178
1219,0,1136
1220,0,1498
1221,0,974
1222,0,354
1223,0,171
1224,0,1268
1225,0,244
1226,0,743
1227,0,983
1228,0,739
1229,0,1050
1230,0,831
1231,0,754
1232,0,49
1233,0,1678
1234,0,359
1235,0,1896
1236,0,449
1237,0,330
1238,0,1150
1239,0,506
1240,0,1172
1241,0,479
1242,0,465
1243,0,843
1244,0,1579
1245,0,2126
1246,0,2721
1247,0,1759
1248,0,990
1249,0,1201
1250,0,1144
1251,0,393
1252,0,597
1253,0,2244
1254,0,937
1255,0,553
1256,0,1382
1257,0,1884
1258,0,2600
1259,0,1141
1260,0,602
1261,0,1273
1262,0,433
1263,0,433
1264,0,869
1265,0,1394
1266,0,571
1267,0,1346
1268,0,104
1269,0,467
1270,0,535
1271,0,806
1272,0,165
1273,0,255
1274,0,463
1275,0,1286
1276,0,1313
1277,0,1514
1278,0,997
1279,0,62
1280,0,2469
1281,0,164
1282,0,1054
1283,0,1796
1284,0,2560
1285,0,2247
1286,0,3916
1287,0,3356
1288,0,1275
1289,0,2151
1290,0,322
1291,0,433
1292,0,3278
1293,0,2076
1294,0,2856
1295,0,1795
1296,0,986
1297,0,274
1298,0,470
1299,0,33
1300,0,1359
1301,0,192
1302,0,286
1303,9582,446
