TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
26,121,249,1,0,0,1,0,2,45,0,0,29,4,8,1,22,9,5,102,20,0,0,1,0,0,2,65,33,148,0
27,121,78,0,0,0,32,0,2,0,0,1,0,0,6,0,5,0,0,0,31,1,0,32,0,1,2,31,0,12,0
28,121,165,0,0,0,0,0,0,0,0,1,0,0,5,0,9,150,0,0,0,0,0,0,0,1,0,0,0,164,0
29,121,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
30,121,82,3,0,0,5,7,5,15,3,0,0,5,15,0,9,0,5,0,0,10,0,5,7,3,5,15,5,42,0
31,121,44,0,0,0,6,0,0,0,0,0,0,2,29,0,4,1,0,0,0,2,0,6,0,0,0,0,2,36,0
32,121,135,0,0,0,78,0,8,0,0,1,18,2,10,0,15,1,0,0,0,2,0,78,0,1,8,0,20,28,0
33,121,59,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,39,0,0,0,17,0,0,0,0,0,42,0
34,121,46,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,19,0,13,0,0,0,0,19,6,8,13
35,121,77,35,0,0,5,0,0,0,0,8,0,0,1,0,7,0,0,21,0,0,0,5,0,8,0,0,0,64,0
