N,NAME,FIPS,EXCNTSTA,LANES,EXTFLAG,INTFLAG,AADT2000,AADT2005,AADT2010,AADT2015,AWDT2000,AWDT2005,AWDT2010,AWDT2015,PCINTWK,PCINTNW,PCNINTW,PCNINTN,CAREE,COMIE,COMEE,MTKIE,MTKEE,HTKIE,HTKEE
5989,Old Jackson Rd,151,323,2,5,0,760,1860,1460,1990,812,1984,1558,2120,0.0000,0.0000,0.3922,0.3922,0.0777,0.1220,0.0051,0.0096,0.0000,0.0006,0.0000
5990,SR 42/US 23,151,329,2,5,0,9353,10150,11350,12300,9972,10820,12100,13110,0.0000,0.0000,0.3886,0.3885,0.0590,0.0901,0.0038,0.0471,0.0026,0.0155,0.0048
5991,I-75,255,79,6,5,1,88300,75560,75930,76200,88566,75788,76158,76430,0.2824,0.2824,0.0000,0.0000,0.2168,0.0072,0.0012,0.0251,0.0064,0.0742,0.1043
5992,Jackson Rd,255,55,2,5,0,1740,1560,1530,1640,1856,1664,1632,1750,0.0000,0.0000,0.4112,0.4112,0.0313,0.1256,0.0018,0.0172,0.0000,0.0018,0.0000
5993,SR 16,35,169,2,5,0,8772,10160,9300,11100,9352,10832,9914,11830,0.0000,0.0000,0.2806,0.2806,0.1750,0.0917,0.0221,0.0420,0.0000,0.0938,0.0142
5994,SR 36,255,269,2,5,0,860,1110,1030,1050,918,1184,1098,1120,0.0000,0.0000,0.4126,0.4126,0.0319,0.1239,0.0027,0.0146,0.0000,0.0018,0.0000
5995,Macon Rd,255,203,2,5,0,3600,4000,3540,3870,3838,4264,3774,4130,0.0000,0.0000,0.3996,0.3993,0.0344,0.1068,0.0013,0.0344,0.0000,0.0231,0.0011
5996,Maple Dr,255,207,2,5,0,1400,1430,1790,1510,1494,1526,1910,1610,0.0000,0.0000,0.4304,0.4298,0.0000,0.1199,0.0000,0.0178,0.0000,0.0021,0.0000
5997,Ethridge Mill R,255,8007,2,5,0,1000,1100,1210,1740,1066,1174,1290,1860,0.0000,0.0000,0.4295,0.4295,0.0000,0.1202,0.0000,0.0186,0.0000,0.0023,0.0000
5998,US 41,255,29,4,5,0,14414,12100,12920,12500,15366,12900,13774,13330,0.0000,0.0000,0.3960,0.3960,0.0297,0.0849,0.0033,0.0454,0.0049,0.0288,0.0108
5999,SR 155,255,1,4,5,0,13743,13060,13060,14500,14652,13922,13922,15460,0.0000,0.0000,0.4134,0.4134,0.0365,0.0864,0.0025,0.0291,0.0015,0.0139,0.0032
6000,SR 362,255,67,2,5,0,7100,7140,7240,7390,7570,7612,7718,7880,0.0000,0.0000,0.3494,0.3494,0.1116,0.0836,0.0159,0.0675,0.0000,0.0188,0.0038
6001,SR 18,255,93,2,5,0,1880,2010,2220,1950,2006,2144,2368,2080,0.0000,0.0000,0.4024,0.4024,0.1482,0.0308,0.0072,0.0072,0.0000,0.0017,0.0004
6002,SR 85,77,370,2,6,0,5280,5400,4280,4510,5630,5758,4564,4810,0.0000,0.0000,0.4078,0.4075,0.0088,0.0460,0.0000,0.0857,0.0000,0.0405,0.0037
6003,SR 54,77,380,2,6,0,1762,1910,2150,2000,1880,2038,2292,2130,0.0000,0.0000,0.4363,0.4359,0.0100,0.0375,0.0004,0.0541,0.0000,0.0257,0.0000
6004,US 41,77,101,2,6,0,5914,6390,5310,6230,6306,6812,5662,6640,0.0000,0.0000,0.3919,0.3917,0.0295,0.0954,0.0014,0.0487,0.0026,0.0309,0.0078
